Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1122,BK85,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
594 BUSHWICK AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,34.0,389,BK78,New Construction,Non Prevailing Wage,0,0,0,20,0,20,64
3160 Park Avenue (Low Income),Multifamily Finance Program,Bronx,10451.0,17.0,141,BX35,New Construction,Non Prevailing Wage,0,19,75,95,0,95,152
STAN GREEN APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,395,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
JERICHO RESIDENCE V HDFC.YR15.FY18,Multifamily Finance Program,Bronx,10453.0,14.0,24502,BX36,Preservation,Prevailing Wage,49,3,0,52,0,52,52
1347 BRISTOW ST,Multifamily Finance Program,Bronx,10459.0,16.0,153,BX75,Preservation,Non Prevailing Wage,0,23,0,13,10,23,23
CSH,Multifamily Finance Program,Brooklyn,11233.0,41.0,373,BK79,Preservation,Non Prevailing Wage,0,2,4,6,0,6,6
CASA PASIVA LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11221.0,34.0,421,BK78,Preservation,Non Prevailing Wage,0,5,8,14,0,14,14
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,118,57,0,175,175,175
1519 NEW YORK AVENUE,Multifamily Incentives Program,Brooklyn,11210.0,45.0,784,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
Webster Commons Building D,Multifamily Finance Program,Bronx,10467.0,11.0,435,BX99,New Construction,Non Prevailing Wage,0,25,89,123,0,123,123
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
920 Prospect Avenue,Multifamily Finance Program,Bronx,10459.0,17.0,12901,BX33,Preservation,Non Prevailing Wage,0,0,69,69,0,69,69
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11238.0,36.0,227,BK69,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
Home Street Homes,Multifamily Finance Program,Bronx,10459.0,17.0,125,BX35,Preservation,Non Prevailing Wage,0,0,7,10,0,10,10
Williamsburg Apartments,Multifamily Finance Program,Brooklyn,11249.0,34.0,551,BK73,New Construction,Non Prevailing Wage,5,1,13,19,0,19,19
1552 MYRTLE AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11237.0,37.0,439,BK77,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
207 W. 147 St. HDFC,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,1,12,2,2,13,15,15
HCCI 2 Phase II,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,0,8,5,18,0,18,18
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11238.0,35.0,229,BK69,Preservation,Non Prevailing Wage,3,3,0,6,0,6,6
JENKINS PORTFOLIO COMPANIES LLC.YR15.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,4,6,3,13,0,13,13
69-17 38TH AVENUE APARTMENTS,Multifamily Incentives Program,Queens,11377.0,26.0,263,QN63,New Construction,Non Prevailing Wage,0,0,1,2,0,2,8
WEST 135TH STREET APARTMENTS,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,4,14,18,0,18,18
HCCI 2,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,0,0,8,15,0,15,15
FSG DEVELOPMENT FCM - FSG REALTY LLC,Multifamily Finance Program,Brooklyn,11205.0,33.0,1237,BK75,Preservation,Non Prevailing Wage,2,0,2,4,0,4,4
183 TOMPKINS LLC,Multifamily Incentives Program,Brooklyn,11206.0,36.0,261,BK75,New Construction,Non Prevailing Wage,0,0,2,2,0,2,10
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,424,BX44,Preservation,Non Prevailing Wage,0,0,2,2,0,2,2
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11420.0,28.0,814,QN55,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
Mount Sharon HDFC,Multifamily Finance Program,Bronx,10463.0,14.0,277,BX28,Preservation,Non Prevailing Wage,0,0,8,9,0,9,9
Habitat-NYC Single Family Homes Phase I,Small Homes Program,Queens,11429.0,27.0,538,QN34,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
SPRING CREEK PHASE 4B-2,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,8,8,0,8,8
Promesa Housing Development Fund Corporation,Multifamily Finance Program,Bronx,10457.0,15.0,165,BX01,Preservation,Non Prevailing Wage,0,21,0,0,21,21,21
US LOTTPORT HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11212.0,42.0,896,BK81,Preservation,Non Prevailing Wage,0,5,1,6,0,6,6
170-19 89TH AVENUE,Multifamily Incentives Program,Queens,11432.0,27.0,462,QN61,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
SUS. 1769 JEROME AVE,Multifamily Finance Program,Bronx,10453.0,14.0,217,BX36,New Construction,Non Prevailing Wage,105,0,69,175,0,175,175
ACMH.2053 RYER AVE,Multifamily Finance Program,Bronx,10457.0,15.0,381,BX41,New Construction,Non Prevailing Wage,52,33,0,86,0,86,86
32-34 PUTNAM AVENUE CLUSTER PHASE I,Multifamily Finance Program,Brooklyn,11216.0,36.0,315,BK61,Preservation,Non Prevailing Wage,0,0,0,5,0,5,5
2015 Monterey Avenue LLC aka PRC Monterey,Multifamily Finance Program,Bronx,10457.0,15.0,37504,BX17,Preservation,Non Prevailing Wage,0,0,0,0,0,0,44
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,18302,BX14,Preservation,Non Prevailing Wage,6,1,0,7,0,7,7
HP ACP HDFC.HPO.FY19 (BLACK SPRUCE),Multifamily Finance Program,Manhattan,10027.0,9.0,226,MN03,Preservation,Non Prevailing Wage,0,2,2,16,0,16,16
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,7,80,0,80,80
COOPER SQUARE MHA - PHASE 1.GHPP.FY20,Multifamily Finance Program,Manhattan,10003.0,2.0,38,MN22,Preservation,Non Prevailing Wage,0,4,0,1,3,4,4
1248 NEW YORK AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11203.0,45.0,830,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,1,113,4,0,118,118,118
HP 109TH STREET HDFC.HUDMF.FY17,Multifamily Finance Program,Manhattan,10025.0,7.0,193,MN09,Preservation,Non Prevailing Wage,20,3,1,24,0,24,24
1544 NOSTRAND AVENUE,Multifamily Incentives Program,Brooklyn,11226.0,40.0,824,BK95,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,4,43,0,43,43
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,178,MN34,Preservation,Non Prevailing Wage,1,9,20,30,0,30,30
1134 FULTON STREET,Multifamily Incentives Program,Brooklyn,11216.0,36.0,227,BK69,New Construction,Non Prevailing Wage,0,0,34,55,0,55,182
TRI-BLOCK,Multifamily Incentives Program,Brooklyn,11217.0,35.0,33,BK68,Preservation,Non Prevailing Wage,0,12,0,12,0,12,12
PARK HOUSE,Multifamily Finance Program,Bronx,10457.0,15.0,379,BX41,New Construction,Non Prevailing Wage,20,30,197,248,0,248,248
HAZY REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10455.0,8.0,35,BX39,Preservation,Non Prevailing Wage,1,8,11,21,0,21,21
Riverton Square,Multifamily Finance Program,Manhattan,10037.0,9.0,210,MN34,Preservation,Non Prevailing Wage,0,0,108,164,0,164,206
ESPLANADE GARDENS INCORPORATED.PLP.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,236,MN03,Preservation,Non Prevailing Wage,26,286,0,0,312,312,312
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11434.0,28.0,288,QN76,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
RIVER CROSSING OWNER HDFC.HPO.FY20,Multifamily Finance Program,Manhattan,10029.0,8.0,162,MN33,Preservation,Non Prevailing Wage,0,0,1,199,0,199,308
1610 NEW YORK AVENUE,Multifamily Incentives Program,Brooklyn,11210.0,45.0,786,BK42,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
WEST 144 CLUSTER LLC.YR15.FY21,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,6,12,0,18,0,18,18
SPRING CREEK PHASE 4B-1,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,8,8,0,8,8
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10029.0,9.0,17401,MN33,Preservation,Non Prevailing Wage,1,12,9,24,0,24,24
Bronx Brooklyn HDFC,Multifamily Finance Program,Brooklyn,11212.0,41.0,882,BK96,Preservation,Non Prevailing Wage,0,32,1,34,0,34,34
First Atlantic Terminal (HDC),Multifamily Finance Program,Brooklyn,11217.0,35.0,35,BK68,Preservation,Non Prevailing Wage,0,0,116,0,116,116,116
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11420.0,28.0,818,QN55,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
Bay Street Senior Housing (20136026),Multifamily Incentives Program,Staten Island,10304.0,49.0,21,SI37,New Construction,Non Prevailing Wage,0,66,0,67,0,67,67
ENSEMBLE,Multifamily Incentives Program,Brooklyn,11203.0,41.0,876,BK60,New Construction,Non Prevailing Wage,0,0,0,28,0,28,93
MCGEE PLAZA HDFC.YR15.FY2017,Multifamily Finance Program,Bronx,10451.0,17.0,141,BX35,Preservation,Non Prevailing Wage,0,6,1,7,0,7,7
81 JEFFERSON STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11206.0,34.0,391,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
TMN903 - Lemle & Wolff,Multifamily Finance Program,Manhattan,10027.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,18,0,18,0,18,18
NCV HOPE LLC.PLP.FY19 (MOUNT HOPE RENAISSANCE),Multifamily Finance Program,Bronx,10453.0,14.0,23301,BX41,Preservation,Non Prevailing Wage,0,17,13,31,0,31,31
540 WAVERLY,Multifamily Incentives Program,Brooklyn,11238.0,35.0,199,BK69,New Construction,Non Prevailing Wage,0,0,34,34,0,34,134
GROWER-GREEN,Multifamily Incentives Program,Brooklyn,11211.0,34.0,513,BK73,Preservation,Non Prevailing Wage,13,9,0,24,0,24,24
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105801,BK93,Preservation,Non Prevailing Wage,0,95,61,156,0,156,156
NYCHA Section 8,Multifamily Finance Program,Brooklyn,11233.0,41.0,373,BK79,Preservation,Non Prevailing Wage,0,0,251,252,0,252,252
LINDSAY PARK.HRP.FY18,Multifamily Finance Program,Brooklyn,11206.0,34.0,491,BK90,Preservation,Non Prevailing Wage,0,152,234,0,387,387,387
NHP - HOPE HOMES CLUSTER AMENDMENT,Multifamily Finance Program,Manhattan,10035.0,8.0,188,MN34,Preservation,Non Prevailing Wage,0,0,0,0,3,3,3
"47TH AVE - ""BIG SIX""",Multifamily Finance Program,Queens,11377.0,26.0,245,QN63,Preservation,Non Prevailing Wage,0,196,293,0,489,489,489
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Brooklyn,11212.0,41.0,886,BK96,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
TBX909-Erickson,Multifamily Finance Program,Bronx,10453.0,14.0,22701,BX41,Preservation,Non Prevailing Wage,0,0,56,57,0,57,57
ACACIA. 128 EAST 112TH ST. VIRGINIA HOUSE,Multifamily Finance Program,Manhattan,10029.0,8.0,172,MN33,Preservation,Prevailing Wage,56,0,0,57,0,57,57
186 ST. GEORGES CRESCENT,Multifamily Incentives Program,Bronx,10458.0,11.0,413,BX05,New Construction,Non Prevailing Wage,0,0,6,18,0,18,56
CHATTERTON.HRP.FY20,Multifamily Finance Program,Bronx,10472.0,18.0,4001,BX55,Preservation,Non Prevailing Wage,6,126,0,0,133,133,133
245 EAST 115 STREET,Multifamily Incentives Program,Manhattan,10029.0,8.0,188,MN34,New Construction,Non Prevailing Wage,0,0,0,4,0,4,13
Belmont Venezia,Multifamily Finance Program,Bronx,10458.0,15.0,389,BX06,Preservation,Non Prevailing Wage,0,0,42,43,0,43,43
Urban Strategies Apts,Multifamily Finance Program,Brooklyn,11233.0,37.0,369,BK79,Preservation,Non Prevailing Wage,0,0,5,5,0,5,5
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10029.0,8.0,178,MN34,Preservation,Non Prevailing Wage,0,11,13,24,0,24,24
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,279,BK35,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
J2,Multifamily Finance Program,Queens,11435.0,27.0,208,QN61,New Construction,Non Prevailing Wage,53,163,0,408,0,408,543
SPRING CREEK PHASE 4B-1,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,2,3,3,8,0,8,8
KNICKERBOCKER LOFTS,Multifamily Incentives Program,Brooklyn,11207.0,37.0,437,BK77,New Construction,Non Prevailing Wage,0,0,0,12,0,12,38
156-160 ERASMUS STREET,Multifamily Incentives Program,Brooklyn,11226.0,40.0,824,BK95,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
1250 NEW YORK AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11203.0,45.0,830,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10467.0,15.0,374,BX44,Preservation,Non Prevailing Wage,0,0,7,8,0,8,8
277 Gates Avenue,Multifamily Finance Program,Brooklyn,11216.0,36.0,229,BK69,Preservation,Non Prevailing Wage,0,0,26,35,0,35,35
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10031.0,9.0,23501,MN04,Preservation,Non Prevailing Wage,0,14,1,15,0,15,15
KINGSBRIDGEARMSINC.HRP.FY17,Multifamily Finance Program,Bronx,10463.0,14.0,273,BX28,Preservation,Non Prevailing Wage,0,89,14,0,104,104,104
Grand & Rogers Cluster - JGV,Multifamily Finance Program,Bronx,10459.0,17.0,131,BX33,Preservation,Non Prevailing Wage,0,4,16,21,0,21,21
Mermaid  / West. 16th Street,Small Homes Program,Brooklyn,11224.0,47.0,326,BK21,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
HARRY T. NANCE APARTMENTS,Multifamily Finance Program,Brooklyn,11233.0,37.0,36502,BK79,New Construction,Non Prevailing Wage,17,15,34,67,0,67,67
Arverne View Apartments (AKA Ocean Village),Multifamily Finance Program,Queens,11692.0,31.0,97202,QN12,Preservation,Prevailing Wage,0,0,56,56,0,56,56
STAGG 3 - MICKEY'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,358,BX03,Preservation,Non Prevailing Wage,0,0,2,2,0,2,2
424 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,Bronx,10451.0,17.0,51,BX39,Preservation,Non Prevailing Wage,0,7,20,28,0,28,28
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11435.0,28.0,202,QN01,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
CSH,Multifamily Finance Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
BK UNION AVENUE CLUSTER LLC.PLP.FY18,Multifamily Finance Program,Bronx,10459.0,17.0,12701,BX27,Preservation,Non Prevailing Wage,1,11,3,16,0,16,16
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10030.0,9.0,227,MN04,Preservation,Non Prevailing Wage,0,0,18,24,0,24,24
Kings Villas - St. Nicks,Multifamily Finance Program,Brooklyn,11233.0,41.0,301,BK79,Preservation,Non Prevailing Wage,0,2,4,6,0,6,6
NCV HOPE LLC.PLP.FY19 (MOUNT HOPE RENAISSANCE),Multifamily Finance Program,Bronx,10453.0,14.0,23301,BX41,Preservation,Non Prevailing Wage,0,62,48,111,0,111,111
810 FULTON STREET,Multifamily Incentives Program,Brooklyn,11238.0,35.0,199,BK69,New Construction,Non Prevailing Wage,0,0,73,73,0,73,363
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10027.0,7.0,21303,MN06,Preservation,Non Prevailing Wage,0,8,7,15,0,15,15
Bronx Shepherds,Multifamily Finance Program,Bronx,10459.0,17.0,133,BX35,Preservation,Non Prevailing Wage,0,0,22,22,0,22,22
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,17901,BX14,Preservation,Non Prevailing Wage,17,0,2,20,0,20,20
CEDAR MANOR MUTUAL HOUSING CORP.HRP.FY18,Multifamily Finance Program,Queens,11434.0,28.0,278,QN76,Preservation,Non Prevailing Wage,4,68,0,0,72,72,72
SAVANNA HALL,Multifamily Incentives Program,Manhattan,10032.0,10.0,24301,MN36,New Construction,Non Prevailing Wage,0,0,72,73,0,73,73
PRC Andrews Avenue,Multifamily Finance Program,Bronx,10453.0,14.0,21501,BX36,Preservation,Non Prevailing Wage,0,64,0,64,0,64,64
456 Washington Street,Multifamily Incentives Program,Manhattan,10013.0,1.0,39,MN24,New Construction,Non Prevailing Wage,0,0,22,22,0,22,107
STANLEY COMMONS,Multifamily Finance Program,Brooklyn,11207.0,42.0,1106,BK82,New Construction,Non Prevailing Wage,0,0,31,31,0,31,31
Williamsburg Apartments,Multifamily Finance Program,Brooklyn,11206.0,34.0,513,BK73,New Construction,Non Prevailing Wage,0,1,9,10,0,10,10
210 East 39th Street,Multifamily Incentives Program,Manhattan,10016.0,4.0,78,MN20,New Construction,Non Prevailing Wage,0,0,11,11,0,11,55
ALMA - 523 PROSPECT,Multifamily Finance Program,Brooklyn,11238.0,35.0,305,BK61,Preservation,Non Prevailing Wage,0,0,3,83,0,83,83
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,12,128,0,128,128
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,245,BK75,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
CSH,Multifamily Finance Program,Brooklyn,11213.0,36.0,347,BK61,Preservation,Non Prevailing Wage,0,1,16,22,0,22,22
CSH,Multifamily Finance Program,Brooklyn,11212.0,42.0,896,BK81,Preservation,Non Prevailing Wage,0,0,4,6,0,6,6
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10475.0,12.0,46202,BX13,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
Franklin,Multifamily Finance Program,Brooklyn,11213.0,36.0,351,BK61,Preservation,Non Prevailing Wage,0,0,15,20,0,20,20
546 West 44th Street,Multifamily Incentives Program,Manhattan,10036.0,3.0,129,MN15,New Construction,Non Prevailing Wage,0,0,62,62,0,62,280
DON L.W. RESYNDICATION,Multifamily Finance Program,Bronx,10459.0,17.0,151,BX35,Preservation,Non Prevailing Wage,0,0,20,20,0,20,20
WEST 144 CLUSTER LLC.YR15.FY21,Multifamily Finance Program,Manhattan,10030.0,9.0,232,MN03,Preservation,Non Prevailing Wage,8,4,3,15,0,15,15
Melrose Estates,Multifamily Finance Program,Bronx,10451.0,17.0,67,BX34,Preservation,Non Prevailing Wage,0,1,2,5,0,5,5
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,261,BK75,Preservation,Non Prevailing Wage,0,0,20,20,0,20,20
Home Street Homes,Multifamily Finance Program,Bronx,10459.0,17.0,125,BX35,Preservation,Non Prevailing Wage,0,4,19,25,0,25,25
HCCI 2,Multifamily Finance Program,Manhattan,10027.0,9.0,220,MN11,Preservation,Non Prevailing Wage,0,0,10,11,0,11,11
MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,Multifamily Finance Program,Bronx,10453.0,14.0,217,BX36,Preservation,Non Prevailing Wage,0,16,23,44,0,44,44
Newport Gardens HDFC,Multifamily Incentives Program,Brooklyn,11212.0,42.0,920,BK81,Preservation,Non Prevailing Wage,0,0,12,12,0,12,12
COOPER SQUARE MHA - PHASE 1.GHPP.FY20,Multifamily Finance Program,Manhattan,10003.0,2.0,38,MN22,Preservation,Non Prevailing Wage,0,10,0,1,9,10,10
1770 MADISON AVENUE LLC,Multifamily Incentives Program,Manhattan,10035.0,9.0,184,MN34,New Construction,Non Prevailing Wage,0,0,7,7,0,7,32
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,108,67,0,175,175,175
2920 BRIGHTON 4TH STREET,Multifamily Incentives Program,Brooklyn,11235.0,48.0,364,BK19,New Construction,Non Prevailing Wage,0,0,0,4,0,4,13
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
376 FRANKLIN AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11238.0,35.0,229,BK69,New Construction,Non Prevailing Wage,0,0,4,4,0,4,20
KINGS BAY HOUSING CO. INC. II,Multifamily Finance Program,Brooklyn,11235.0,48.0,596,BK17,Preservation,Non Prevailing Wage,135,0,0,0,135,135,135
Home Street Homes,Multifamily Finance Program,Bronx,10459.0,17.0,125,BX35,Preservation,Non Prevailing Wage,0,1,20,30,0,30,30
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,2,14,17,0,17,17
MONTAGUE PIERREPONT APARTMENTS,Multifamily Incentives Program,Brooklyn,11201.0,33.0,9,BK09,New Construction,Non Prevailing Wage,0,9,9,23,0,23,86
NCV HOPE LLC.PLP.FY19 (MOUNT HOPE RENAISSANCE),Multifamily Finance Program,Bronx,10453.0,14.0,241,BX41,Preservation,Non Prevailing Wage,3,11,10,24,0,24,24
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,46202,BX13,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
FOXY.2016 ARTHUR AVENUE,Multifamily Finance Program,Bronx,10457.0,17.0,373,BX17,New Construction,Prevailing Wage,176,0,0,177,0,177,177
WATERSIDE PLAZA.HPO.FY20,Multifamily Finance Program,Manhattan,10010.0,4.0,62,MN20,Preservation,Non Prevailing Wage,1,0,0,98,0,98,365
MHANY 2,Multifamily Finance Program,Brooklyn,11213.0,36.0,311,BK61,Preservation,Non Prevailing Wage,0,0,5,5,0,5,5
PHELPS HOUSE LP.YR15.FY19,Multifamily Finance Program,Manhattan,10024.0,6.0,173,MN12,Preservation,Non Prevailing Wage,157,8,2,168,0,168,168
256 MARTENSE STREET.GHPP.FY18,Multifamily Finance Program,Brooklyn,11226.0,40.0,820,BK60,Preservation,Non Prevailing Wage,0,2,4,6,0,6,6
102 CENTRAL AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,34.0,425,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
EBENEZER PLAZA PHASE 1B,Multifamily Finance Program,Brooklyn,11212.0,42.0,920,BK81,New Construction,Non Prevailing Wage,30,24,64,118,0,118,118
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,98,BK34,Preservation,Non Prevailing Wage,16,0,0,16,0,16,16
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
LAFAYETTE MORRISON APARTMENTS,Multifamily Incentives Program,Bronx,10473.0,17.0,28,BX09,Preservation,Non Prevailing Wage,3,206,12,0,226,226,226
Affordable & Supportive Family Housing at Van Dyke,Multifamily Finance Program,Brooklyn,11212.0,41.0,910,BK81,New Construction,Prevailing Wage,75,0,25,101,0,101,101
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11216.0,36.0,221,BK61,Preservation,Non Prevailing Wage,0,4,4,8,0,8,8
UP. 316 East 162nd St.,Multifamily Finance Program,Bronx,10451.0,17.0,173,BX14,New Construction,Prevailing Wage,86,0,0,86,0,86,86
340/342 RUTLAND ROAD,Multifamily Incentives Program,Brooklyn,11225.0,40.0,804,BK60,New Construction,Non Prevailing Wage,0,0,0,1,0,1,1
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,2702,BX39,Preservation,Non Prevailing Wage,21,6,15,44,0,44,44
LINDSAY PARK.HRP.FY18,Multifamily Finance Program,Brooklyn,11206.0,34.0,511,BK90,Preservation,Non Prevailing Wage,0,177,209,0,387,387,387
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,398,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
Bay Park II Apartments (20140286),Multifamily Incentives Program,Brooklyn,11224.0,47.0,330,BK21,Preservation,Non Prevailing Wage,0,0,133,134,0,134,134
5 TELLERS HDFC INC.GHPP.FY19,Multifamily Finance Program,Bronx,10451.0,17.0,173,BX14,Preservation,Non Prevailing Wage,9,10,2,21,0,21,21
