Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
LESPMHA HDFC,Multifamily Incentives Program,Manhattan,10009.0,2.0,2602,MN28,Preservation,Non Prevailing Wage,0,11,11,22,0,22,22
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,166,MN33,Preservation,Non Prevailing Wage,1,14,22,38,0,38,38
2338 2ND AVENUE,Multifamily Incentives Program,Manhattan,10035.0,8.0,194,MN34,New Construction,Non Prevailing Wage,0,0,0,9,0,9,30
332 EAST 54TH STREET.GHPP.FY19,Multifamily Finance Program,Brooklyn,11203.0,41.0,862,BK96,Preservation,Non Prevailing Wage,0,4,15,19,0,19,19
523 WEST 173RD STREET APARTMENTS,Multifamily Incentives Program,Manhattan,10032.0,10.0,261,MN36,New Construction,Non Prevailing Wage,0,0,2,2,0,2,8
Tremont Renaissance,Multifamily Finance Program,Bronx,10457.0,15.0,379,BX41,New Construction,Non Prevailing Wage,0,0,129,256,0,256,256
SPRING CREEK PHASE 4B-2,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,2,2,4,8,0,8,8
486-488 LEFFERTS AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11225.0,40.0,806,BK60,New Construction,Non Prevailing Wage,0,0,0,6,0,6,18
19 MALTA STREET,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1130,BK85,New Construction,Non Prevailing Wage,0,0,0,2,0,2,6
603 JACKSON AVENUE,Small Homes Program,Bronx,10455.0,8.0,73,BX34,New Construction,Non Prevailing Wage,0,0,25,25,0,25,25
HCCI 2,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,0,0,16,41,0,41,41
STAGG 3 - MICKEY'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10467.0,12.0,396,BX44,Preservation,Non Prevailing Wage,0,0,7,8,0,8,8
